question;reponse;reponse
Pole de santé du Villeneuvois: évaluez votre prise en charge sur une échelle de 1 à 5 (1: pas satisfait du tout 5: très satisfait) Cette note concerne les soins et les informations transmises par le médecin et l'équipe soignante;30;5 super équipe médicale. Merci
Clinique de la Sauvegarde: Evaluez votre passage au service sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);24;10 extr?mement satisfait
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2. Vous devez faire votre pré-admission en ligne sur le site https://example.com Si vous avez des difficultés pour le faire, répondez DIF à ce sms. Répondez FAIT une fois que vous l'aurez faite;26;Fait ce matin à  l'hôpital
Etes-vous satisfait de votre séjour au CH de Rambouillet (1: pas du tout satisfait, 5: très satisfait) ?;59;5 très satisfait. Très bon accueil, prise en charge rapide.
"Hopital Saint-John : Sur une échelle de 0 à 10, comment évalueriez vous votre prise en charge par l'équipe de chirurgie ambulatoire ? (0 très peu satisfaisant; 10 très satisfaisant)";20;10 très satisfaisant
Bonjour au plus tard 12h .;15;Merci beaucoup.
CH John Pasteur de Dole : Evaluez votre passage auservice  sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);58;Je suis extrêmement satisfaite  Je vous remercie pour tout
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2. Vous devez faire votre pré-admission en ligne sur le site https://example.com Si vous avez des difficultés pour le faire, répondez DIF à ce sms. Répondez FAIT une fois que vous l'aurez faite;22;Fait ce jour sur place
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2. Vous devez faire votre pré-admission en ligne sur le site https://example.com Si vous avez des difficultés pour le faire, répondez DIF à ce sms. Répondez FAIT une fois que vous l'aurez faite;43;Pré admission faite le 4 juin à la clinique
ATTENTION LE NON RESPECT DES CONSIGNES CONDUIRA A L'ANNULATION DE L'OPERATION DE VOTRE ENFANT;115;Bonjour je ne trouve pas l'autorisation d'opérer dans le livret. Pouvez vous m'indiquer oÃ¹ je peux la trouver svp?
En cas de douleur, de rougeur ou de sensation de sable dans l'œil, contactez rapidement les urgences ophtalmologiques au 01.00.00.00.00 ou votre chirurgien. N'oubliez-pas votre RDV de suivi post-opératoire;69;Redonnez moi svp l'heure et la date de mon Rdv postopératoire ? Merci
Hopital Sainte-Jane: Merci d'évaluer la clarté des informations transmises lors de votre sortie, de 1 à 10 (1: pas du tout clair - 10 : extrêmement clair);20;10 extrêmement clair
Evaluez votre passage au CH Valenciennes sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);53;10 pour les soins 0 pour la nourriture et les matelas
Clinique de la Sauvegarde: Evaluez votre passage au service sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);62;8 par rapport à l'attente avant d'aller au bloc (3h) sinon 10.
Hopital Layné : Evaluez votre prise en charge sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);113;Je mets a toute l equipe dix sur dix merci aux infirmières et étudiantes pour leur amabilité et professionnalisme
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;64;Sera fait le jeudi 13 sur place lors du rdv avec  l'anesthésiste
Hopital Saint John : Vous avez rendez-vous pour votre intervention le **/date_demarrage_date**/ . Si vous maintenez le RV répondez OUI, sinon répondez ANNUL;19;Oui  c'est maintenu
Merci de votre réponse.  Si vous avez un commentaire, mettez le dans un 2eme SMS;16;9 pour l accueil
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;214;Nous avons 84 ans et pas très à l'aise pour faire ces choses là. La secrétaire nous avait dit d'arriver une heure avant pour faire cette démarche. Merci de me dire si c'est possible de faire comme ça. Cordialement.
Vous n'avez pas répondu par un chiffre au dernier SMS, votre avis est important. Pourrez vous svp répondre par un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);140;Je voulais marquer je vous lais renvoyer le premier texto j'ai mis 7 car arrivé à 9h et passer en bloc à 15 je trouve que c'est un peu léger
Si vous êtes dans un parcours de soins spécifique à votre transidentité, par quels professionnels êtes-vous suivis actuellement pour une prise en charge trans (plusieurs choix possibles) ?;51;Chirurgien//Psychiatre//Psychologue//Endocrinologue
Si vous êtes dans un parcours de soins spécifique à votre transidentité, dans quel établissement êtes-vous suivi ?;14;Hôpital public
Parmi ces propositions, lesquelles correspondent à votre situation actuelle (plusieurs choix possibles) ?;219;Je suis un traitement hormonal (hormonothérapie)//J'ai eu une chirurgie de stérilisation//J'ai eu une mastectomie//Je vais avoir une chirurgie de réassignation sexuelle (phalloplastie, metaoidioplastie ou vaginoplastie)
Quelle est votre situation professionnelle ?;31;Etudiant enseignement supérieur
Quel est votre parcours trans identitaire (avec ou sans entrée dans un parcours chirurgical) ?;14;Female-to-Male
Quelle est votre situation romantique ?;11;Célibataire
Quelle est votre orientation sexuelle ?;14;Hétérosexuelle
Quel est votre lieu de résidence (1) ?;30;Chez parents ou tuteurs légaux
Quel est votre lieu de résidence (2) ?;11;Appartement
Pole de santé du Villeneuvois: évaluez votre prise en charge sur une échelle de 1 à 5 (1: pas satisfait du tout 5: très satisfait) Cette note concerne les soins et les informations transmises par le médecin et l'équipe soignante;53;Tvb merci pour votre prise en charge 4/5 bonne soiree
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;87;J ai créé un compte pour continuer l inscription  Et ensuite il refuse l identification
Pensez-vous que votre qualité de vie s'est améliorée par rapport à votre état avant la chirurgie dont vous avez bénéficié dans notre unité ? Répondez MIEUX, PIRE ou PAREIL;13;Oui. 9. Mieux
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;45;Impossible de télécharger ma pièce d identité
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;36;Bonjour j’ai besoin d’un rendez-vous
Nous souhaiterions connaitre votre niveau de satisfaction concernant votre passage en chirurgie ambulatoire à l'hopital John Mourier. Merci de répondre uniquement un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extrêmement satisfait);43;0 je n'ai pas été opérée et je l'ai signalé
"Hopital Saint-John : Sur une échelle de 0 à 10, comment évalueriez vous votre prise en charge par l'équipe de chirurgie ambulatoire ? (0 très peu satisfaisant; 10 très satisfaisant)";1249;"J'ai été bien pris en charge / les infirmières infirmiers sont très bien / néanmoins attendre sur une chaise si longtemps avant de passer en salle d'opération c'est un peu difficile , les chaises sont inconfortables et la télé dans la salle d'attente ce n'est pas terrible / on a plutôt envie de ce reposer quand on a rien mangé depuis la veille et que l'on passe à 16h40 . Antre remarque dans un but constructif / j'ai eu l'ordonnance pour les médicaments dont anti douleur a 19h45 et donc en arrivant en bas de chez moi toutes les pharmacies étaient fermées donc j'ai du marcher 1 km avé mon à à ompagnant pour trouver la pharmacie de garde qui n'avait pas tout / donc le protocole a l'intérieur de l'hôpital est respecté et on s'inquiète de nous mais une fois sorti ,on est quand même la bé dans la nature. Bon tout c'est Bien passé , mais j'ai eu un coup de stress quand je me suis rendu compte que la pharmacie en bas de chez moi était fermé et quand la 2 eme était fermée aussi alors que je n'avais plus le taxi pour m'emmener à la 3 eme et impossible d'en trouver 1 à 20h ; donc il a fallut marcher et envoyer mon accompagnant en éclaireur pour être sûr que la pharmacie ne soit pas fermée 5 minutes avant que j'arrive . Voilà vous savez tout"
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;53;Preadmission sera faite le 12 juin à l'accueil de PII
Merci de remplir le questionnaire médical et d'apporter la copie de vos dernières ordonnances;75;Je n'ai pas reçu de questionnaire médical. Mon mail est example@example.com
Pensez-vous que votre qualité de vie s'est améliorée par rapport à votre état avant la chirurgie dont vous avez bénéficié dans notre unité ? Répondez MIEUX, PIRE ou PAREIL;13;MIEUX  NON  9
"Hopital Saint-John : Sur une échelle de 0 à 10, comment évalueriez vous votre prise en charge par l'équipe de chirurgie ambulatoire ? (0 très peu satisfaisant; 10 très satisfaisant)";15;10 satisfaisant
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;15;Pas d'internet.
"Hopital Saint-John : Sur une échelle de 0 à 10, comment évalueriez vous votre prise en charge par l'équipe de chirurgie ambulatoire ? (0 très peu satisfaisant; 10 très satisfaisant)";14;10. Excellent.
Pensez-vous que votre qualité de vie s'est améliorée par rapport à votre état avant la chirurgie dont vous avez bénéficié dans notre unité ? Répondez MIEUX, PIRE ou PAREIL;11;NON 8 MIEUX
Pouvez-vous nous indiquer le type de difficulté que vous avez rencontrée ?;54;Impossible revenir à la saisie après scan mutuelle....
Evaluez votre passage au CH Valenciennes sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);17;Très satisfait 10
Pensez-vous que votre qualité de vie s'est améliorée par rapport à votre état avant la chirurgie dont vous avez bénéficié dans notre unité ? Répondez MIEUX, PIRE ou PAREIL;12;10 Non Mieux
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2. Vous devez faire votre pré-admission en ligne sur le site https://example.com Si vous avez des difficultés pour le faire, répondez DIF à ce sms. Répondez FAIT une fois que vous l'aurez faite;23;FAIT DEPUIS  3 SEMAINES
Clinique de la Sauvegarde: Evaluez votre passage au service sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);25;9 sur 10 ! Très satisfait
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2. Vous devez faire votre pré-admission en ligne sur le site https://example.com Si vous avez des difficultés pour le faire, répondez DIF à ce sms. Répondez FAIT une fois que vous l'aurez faite;58;Je suis obligée d'annuler ce RV.  Avec toutes mes excuses.
"Hopital Saint-John : Sur une échelle de 0 à 10, comment évalueriez vous votre prise en charge par l'équipe de chirurgie ambulatoire ? (0 très peu satisfaisant; 10 très satisfaisant)";20;Oui ça va bien merci
Hopital John Mondor : Evaluez votre passage en endoscopie de 0 à 10 (0: pas satisfait du tout à 10: extremement satisfait);14;évaluation 10.
Veuillez remplir le questionnaire pré-opératoire en cliquant sur le lien suivant : **/pwf_questionnaire**/;15;Alerte générale
Pole de santé du Villeneuvois: évaluez votre prise en charge sur une échelle de 1 à 5 (1: pas satisfait du tout 5: très satisfait) Cette note concerne les soins et les informations transmises par le médecin et l'équipe soignante;11;5 très bien
Pole de santé du Villeneuvois: évaluez votre prise en charge sur une échelle de 1 à 5 (1: pas satisfait du tout 5: très satisfait) Cette note concerne les soins et les informations transmises par le médecin et l'équipe soignante;16;Trés satisfait 5
Evaluez votre parcours de soin J0 et votre accueil dans l’unité J0 de l'hopital John Mondor de 0 à 10 (0: pas satisfait du tout - 10: extrêmement satisfait);21;Extrêmement satisfait
Hopital Sainte-Jane: Merci d'évaluer la clarté des informations transmises lors de votre sortie, de 1 à 10 (1: pas du tout clair - 10 : extrêmement clair);185;Ni ju de lo de ni ni ju ni de ni ni ni ju ju ju ju ju ni ni ni ni ni ni ni ju ju ni ni ju ju ju ju ju ju ni ni ni ju ni ni ni ju ni ni ni ni ju ju ju ju ju ju ju vu de de de ju de ju de
"Hopital Saint-John : Sur une échelle de 0 à 10, comment évalueriez vous votre prise en charge par l'équipe de chirurgie ambulatoire ? (0 très peu satisfaisant; 10 très satisfaisant)";196;La prise en charge n'était pas terrible lors de l'accueil et pendant l'attente 5/10, en revanche l'intervention était parfaite l'équipe médicale m'a mis en confiance alors que j'étais stressé 9/10
Merci de votre réponse. Votre avis compte pour le service, pouvez-vous nous en dire plus sur votre prise en charge ? ;76;Tout a été parfait je me suis présenté dans le service accueil impeccable ..
Etes-vous satisfait de votre prise en charge à l'Hopital Privé John Cartier ? Répondez un chiffre (1: pas du tout satisfait à 5: très satisfait);28;Bonsoir oui 5 très satisfait
CH John Pasteur de Dole : Evaluez votre passage auservice  sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);18;Très satisfaite 10
Evaluez votre prise en charge lors de votre examen à l'Hopital Jane Lannelongue de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait);17;10 très satisfait
Etes-vous satisfait de votre séjour au CH de Rambouillet (1: pas du tout satisfait, 5: très satisfait) ?;13;5 rien à dire
